Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,AvgH,AvgD,AvgA,AvgO,AvgU
I1,14/01/2023,19:45,Inter,Verona,1,0,H,1.29,5.93,9.79,1.51,2.57
I1,15/01/2023,11:30,Sassuolo,Lazio,0,2,A,3.19,3.63,2.19,1.78,2.06
I1,15/01/2023,14:00,Torino,Spezia,0,1,A,1.65,3.88,5.56,2.03,1.81
I1,15/01/2023,14:00,Udinese,Bologna,1,2,A,1.97,3.45,4.04,1.96,1.87
I1,15/01/2023,17:00,Atalanta,Salernitana,8,2,H,1.39,5.1,7.81,1.59,2.37
I1,15/01/2023,19:45,Roma,Fiorentina,2,0,H,2.0,3.51,3.83,2.04,1.79
I1,16/01/2023,19:45,Empoli,Sampdoria,1,0,H,2.25,3.1,3.58,2.2,1.68
I1,21/01/2023,14:00,Verona,Lecce,2,0,H,2.41,3.05,3.31,2.35,1.6
I1,21/01/2023,17:00,Salernitana,Napoli,0,2,A,9.41,5.67,1.31,1.55,2.45
I1,21/01/2023,19:45,Fiorentina,Torino,0,1,A,2.13,3.35,3.61,2.2,1.68
I1,22/01/2023,11:30,Sampdoria,Udinese,0,1,A,3.58,3.33,2.15,2.15,1.72
I1,22/01/2023,14:00,Monza,Sassuolo,1,1,D,2.22,3.41,3.33,1.79,2.05
I1,22/01/2023,17:00,Spezia,Roma,0,2,A,4.53,3.61,1.82,2.04,1.8
I1,22/01/2023,19:45,Juventus,Atalanta,3,3,D,2.13,3.44,3.51,2.0,1.83
I1,23/01/2023,17:30,Bologna,Cremonese,1,1,D,1.94,3.34,4.33,2.1,1.75
I1,23/01/2023,19:45,Inter,Empoli,0,1,A,1.28,5.91,10.24,1.57,2.38
I1,24/01/2023,19:45,Lazio,Milan,4,0,H,3.17,3.45,2.27,1.88,1.94
I1,27/01/2023,17:30,Bologna,Spezia,2,0,H,1.89,3.4,4.57,2.19,1.7
I1,27/01/2023,19:45,Lecce,Salernitana,1,2,A,1.83,3.51,4.74,2.15,1.72
I1,28/01/2023,14:00,Empoli,Torino,2,2,D,3.24,3.06,2.44,2.25,1.66
I1,28/01/2023,17:00,Cremonese,Inter,1,2,A,6.45,4.5,1.5,1.68,2.21
I1,28/01/2023,19:45,Atalanta,Sampdoria,2,0,H,1.34,5.25,9.22,1.7,2.18
I1,29/01/2023,11:30,Milan,Sassuolo,2,5,A,1.49,4.71,6.15,1.52,2.53
I1,29/01/2023,14:00,Juventus,Monza,0,2,A,1.55,4.08,6.49,1.92,1.91
I1,29/01/2023,17:00,Lazio,Fiorentina,1,1,D,2.11,3.33,3.72,1.98,1.85
I1,29/01/2023,19:45,Napoli,Roma,2,1,H,1.74,3.76,4.94,1.98,1.86
I1,30/01/2023,19:45,Udinese,Verona,1,1,D,1.84,3.68,4.35,1.94,1.88
I1,04/02/2023,14:00,Cremonese,Lecce,0,2,A,2.68,3.1,2.86,2.39,1.59
I1,04/02/2023,17:00,Roma,Empoli,2,0,H,1.5,4.21,7.13,1.98,1.85
I1,04/02/2023,19:45,Sassuolo,Atalanta,1,0,H,3.71,3.82,1.95,1.59,2.39
I1,05/02/2023,11:30,Spezia,Napoli,0,3,A,8.77,5.13,1.36,1.67,2.23
I1,05/02/2023,14:00,Torino,Udinese,1,0,H,2.32,3.18,3.34,2.18,1.7
I1,05/02/2023,17:00,Fiorentina,Bologna,1,2,A,1.84,3.53,4.6,2.07,1.78
I1,05/02/2023,19:45,Inter,Milan,1,0,H,1.99,3.54,3.87,1.83,2.01
I1,06/02/2023,17:30,Verona,Lazio,1,1,D,3.82,3.46,2.02,2.05,1.78
I1,06/02/2023,19:45,Monza,Sampdoria,2,2,D,1.83,3.5,4.71,2.12,1.74
I1,07/02/2023,19:45,Salernitana,Juventus,0,3,A,7.07,4.25,1.5,1.97,1.87
I1,10/02/2023,19:45,Milan,Torino,1,0,H,1.83,3.5,4.81,2.18,1.71
I1,11/02/2023,14:00,Empoli,Spezia,2,2,D,2.05,3.44,3.77,2.05,1.79
I1,11/02/2023,17:00,Lecce,Roma,1,1,D,4.24,3.27,1.98,2.44,1.57
I1,11/02/2023,19:45,Lazio,Atalanta,0,2,A,2.4,3.43,2.98,1.86,1.98
I1,12/02/2023,11:30,Udinese,Sassuolo,2,2,D,2.05,3.51,3.66,1.79,2.05
I1,12/02/2023,14:00,Bologna,Monza,0,1,A,2.23,3.31,3.39,2.13,1.73
I1,12/02/2023,17:00,Juventus,Fiorentina,1,0,H,1.85,3.6,4.39,2.05,1.79
I1,12/02/2023,19:45,Napoli,Cremonese,3,0,H,1.18,7.36,15.53,1.45,2.76
I1,13/02/2023,17:30,Verona,Salernitana,1,0,H,1.85,3.49,4.56,2.01,1.83
I1,13/02/2023,19:45,Sampdoria,Inter,0,0,D,7.69,4.59,1.43,1.85,1.98
I1,17/02/2023,19:45,Sassuolo,Napoli,0,2,A,5.41,4.14,1.62,1.73,2.13
I1,18/02/2023,14:00,Sampdoria,Bologna,1,2,A,3.24,3.14,2.39,2.35,1.61
I1,18/02/2023,17:00,Monza,Milan,0,1,A,3.71,3.34,2.1,2.06,1.78
I1,18/02/2023,19:45,Inter,Udinese,3,1,H,1.52,4.38,6.3,1.76,2.1
I1,19/02/2023,11:30,Atalanta,Lecce,1,2,A,1.5,4.32,6.67,1.83,2.0
I1,19/02/2023,14:00,Fiorentina,Empoli,1,1,D,1.62,4.07,5.44,1.84,2.0
I1,19/02/2023,14:00,Salernitana,Lazio,0,2,A,5.14,3.9,1.68,1.9,1.92
I1,19/02/2023,17:00,Spezia,Juventus,0,2,A,5.81,3.92,1.62,2.04,1.8
I1,19/02/2023,19:45,Roma,Verona,1,0,H,1.63,3.72,6.02,2.23,1.67
I1,20/02/2023,19:45,Torino,Cremonese,2,2,D,1.67,3.76,5.47,2.12,1.74
I1,25/02/2023,17:00,Empoli,Napoli,0,2,A,6.86,4.72,1.45,1.66,2.22
I1,25/02/2023,19:45,Lecce,Sassuolo,0,1,A,2.54,3.18,2.96,2.13,1.73
I1,26/02/2023,11:30,Bologna,Inter,1,0,H,4.96,3.77,1.73,1.98,1.85
I1,26/02/2023,14:00,Salernitana,Monza,3,0,H,3.53,3.41,2.13,2.01,1.82
I1,26/02/2023,17:00,Udinese,Spezia,2,2,D,1.65,3.97,5.29,1.85,1.98
I1,26/02/2023,19:45,Milan,Atalanta,2,0,H,2.19,3.38,3.42,1.89,1.94
I1,27/02/2023,17:30,Verona,Fiorentina,0,3,A,3.27,3.29,2.29,2.18,1.69
