Div,Date,Time,HomeTeam,AwayTeam,HG,AG,FTR,AvgH,AvgD,AvgA,AvgO,AvgU,x,y,isOver
IT1,08/11/2022,17:30,Napoli,Empoli,2,0,H,1.24,6.61,11.31,1.4,2.95,-0.05382730278156956,0.022334177340045697,Under
IT1,08/11/2022,17:30,Spezia,Udinese,1,1,D,4.01,3.56,1.94,1.93,1.89,0.012850151170330728,-0.02410848601126284,Under
IT1,08/11/2022,19:45,Cremonese,Milan,0,0,D,6.15,4.28,1.54,1.72,2.14,-0.006845152692858871,-0.051710497868966,Under
IT1,09/11/2022,17:30,Lecce,Atalanta,2,1,H,4.7,3.6,1.8,2.02,1.81,0.01507744274640834,-0.027353185187684162,Over
IT1,09/11/2022,17:30,Sassuolo,Roma,1,1,D,3.48,3.58,2.1,1.8,2.04,0.005109705194276409,-0.023583596785179118,Under
IT1,09/11/2022,19:45,Fiorentina,Salernitana,2,1,H,1.54,4.32,6.07,1.76,2.09,-0.011684812921519872,0.01877909892315405,Over
IT1,09/11/2022,19:45,Inter,Bologna,6,1,H,1.31,5.59,9.7,1.55,2.45,-0.03991825395987296,0.025391391132994157,Over
IT1,09/11/2022,19:45,Torino,Sampdoria,2,0,H,1.63,3.81,5.88,2.12,1.74,0.01335693604143873,0.026833237128450194,Under
IT1,10/11/2022,17:30,Verona,Juventus,0,1,A,5.26,3.82,1.69,1.96,1.86,0.009666726781668482,-0.035755829042131995,Under
IT1,10/11/2022,19:45,Lazio,Monza,1,0,H,1.62,4.13,5.37,1.72,2.14,-0.011363528323540434,0.01309090105375367,Under
IT1,11/11/2022,19:45,Empoli,Cremonese,2,0,H,2.52,3.33,2.88,1.92,1.9,0.01437356873807486,-0.0013820899476208574,Under
IT1,12/11/2022,14:00,Napoli,Udinese,3,2,H,1.48,4.7,6.23,1.57,2.41,-0.02835450616602577,0.01274780379284486,Over
IT1,12/11/2022,17:00,Sampdoria,Lecce,0,2,A,2.66,3.05,2.93,2.43,1.56,0.030264027218825734,0.012390386080937984,Under
